duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
143,udp,http,REJ,3205,384,0,0,0,27,0,1,0,0,0,0,5,0,0,0,1,0,6,35,0.01,0.01,0.07,0.07,0.93,0.28,0.61,129,244,0.89,0.58,0.45,0.6,0.01,0.01,0.05,0.07,normal
279,udp,ftp,S0,5881,8516,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1,0,48,7,0.06,0.05,0.05,0.06,0.73,0.28,0.85,160,208,0.86,0.09,0.41,0.83,0.04,0.05,0.07,0.06,normal
91,icmp,ssh,SF,6907,9826,0,0,0,16,0,1,0,0,0,0,4,0,1,0,0,0,20,39,0.04,0.04,0.05,0.06,0.87,0.02,0.17,24,58,0.76,0.64,0.01,0.08,0.05,0.04,0.06,0.05,normal
113,icmp,smtp,S0,2024,4016,0,0,0,22,0,1,0,0,0,0,0,0,2,0,0,0,5,31,0.06,0.06,0.05,0.06,0.78,0.01,0.6,151,190,0.52,0.33,0.22,0.69,0.08,0.07,0.04,0.06,normal
63,tcp,ssh,S0,3618,9941,0,0,0,2,0,1,0,0,0,0,3,0,2,0,0,0,41,10,0.01,0.01,0.03,0.04,0.99,0.1,0.07,130,252,0.87,0.9,0.9,0.11,0.02,0.01,0.03,0.04,normal
277,udp,smtp,REJ,9851,4328,0,0,0,10,0,1,0,0,0,0,1,0,0,0,1,0,23,17,0.01,0.01,0.02,0.02,0.93,0.08,0.24,240,204,0.52,0.74,0.78,0.62,0.01,0.01,0.02,0.02,normal
3,tcp,eco_i,S0,71,95,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,1,459,155,0.89,0.86,0.13,0.11,0.98,0.03,0.88,110,240,0.19,0.43,0.03,0.69,0.69,0.98,0.14,0.16,pod
2,tcp,private,REJ,94,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,452,415,0.91,0.79,0.16,0.14,0.94,0.08,0.31,7,48,0.89,0.1,0.79,0.29,0.72,1.05,0.16,0.19,smurf
15,tcp,private,S0,4058,6076,0,0,0,21,0,1,0,0,0,0,0,0,0,0,1,0,1,45,0.06,0.06,0.04,0.05,0.81,0.27,0.42,140,4,0.61,0.58,0.1,0.49,0.05,0.06,0.05,0.05,normal
163,udp,private,SF,4966,5371,0,0,0,28,0,1,0,0,0,0,0,0,5,0,0,0,6,44,0.06,0.05,0.01,0.0,0.97,0.05,0.38,136,92,0.75,0.59,0.18,0.63,0.05,0.06,0.01,0.01,normal
4,tcp,private,RSTO,29,29,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,147,391,0.85,0.96,0.17,0.19,0.93,0.05,0.78,156,64,0.28,0.63,0.15,0.0,0.81,0.69,0.19,0.14,teardrop
153,icmp,domain,REJ,9954,3819,0,0,0,28,0,1,0,0,0,0,3,0,3,0,1,0,16,17,0.02,0.02,0.04,0.04,0.98,0.22,0.78,185,147,0.18,0.25,0.56,0.38,0.02,0.02,0.03,0.03,normal
174,tcp,domain,S0,2722,9215,0,0,0,27,0,1,0,0,0,0,3,0,5,0,0,0,41,34,0.08,0.07,0.1,0.1,0.88,0.26,0.9,216,145,0.33,0.32,0.1,0.86,0.08,0.06,0.1,0.12,normal
2,tcp,domain,REJ,5624,4538,0,0,0,19,0,1,0,0,0,0,5,0,5,0,1,0,9,36,0.05,0.05,0.05,0.05,0.98,0.3,0.43,230,132,0.46,0.41,0.11,0.7,0.06,0.04,0.06,0.06,normal
43,udp,domain,S0,1394,1373,0,0,0,10,0,1,0,0,0,0,3,0,0,0,1,0,2,49,0.02,0.02,0.05,0.05,0.94,0.29,0.43,166,0,0.65,0.08,0.73,0.42,0.02,0.02,0.05,0.05,normal
92,tcp,ftp,REJ,3449,6078,0,0,0,24,0,1,0,0,0,0,2,0,2,0,0,0,40,41,0.1,0.1,0.06,0.06,0.8,0.26,0.41,117,248,0.34,0.05,0.82,0.75,0.08,0.08,0.06,0.04,normal
9,tcp,eco_i,RSTO,7,19,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,295,1,0.92,0.9,0.17,0.14,0.29,0.84,0.38,154,36,0.63,0.76,0.25,0.65,0.96,1.07,0.16,0.17,saint
197,tcp,ftp,REJ,5797,3666,0,0,0,18,0,1,0,0,0,0,3,0,4,0,1,0,2,47,0.08,0.09,0.0,0.0,0.72,0.23,0.81,106,0,0.76,0.64,0.5,0.37,0.1,0.1,0.0,0.0,normal
243,tcp,smtp,S0,5416,6848,0,0,0,20,0,1,0,0,0,0,2,0,1,0,1,0,10,4,0.09,0.09,0.07,0.08,0.76,0.09,0.38,125,119,0.1,0.07,0.96,0.2,0.09,0.1,0.06,0.08,normal
3,tcp,private,S0,57,38,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,1,282,336,0.89,0.87,0.09,0.08,0.94,0.09,0.04,250,253,0.26,0.5,0.77,0.37,0.77,0.78,0.07,0.07,neptune
171,tcp,domain,S0,3167,7359,0,0,0,12,0,1,0,0,0,0,1,0,3,0,1,0,48,30,0.08,0.08,0.09,0.09,0.96,0.29,0.03,76,11,0.96,0.48,0.47,0.08,0.08,0.07,0.08,0.07,normal
5,tcp,http,S0,100,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,392,242,0.95,1.04,0.16,0.17,0.87,0.04,0.34,170,216,0.37,0.34,0.18,0.2,1.05,1.2,0.15,0.11,smurf
0,tcp,eco_i,RSTOS0,3,73,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,135,130,0.95,0.79,0.16,0.18,0.92,0.08,0.6,204,160,0.99,0.09,0.1,0.89,0.95,1.09,0.16,0.2,land
39,udp,private,S0,7756,7401,0,0,0,23,0,1,0,0,0,0,0,0,2,0,1,0,28,6,0.05,0.06,0.08,0.07,0.82,0.15,0.67,196,75,0.71,0.02,0.37,0.13,0.05,0.07,0.08,0.05,normal
2,tcp,private,REJ,88,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,473,192,0.91,1.04,0.04,0.04,0.88,0.03,0.62,216,89,0.91,0.07,0.05,0.07,1.12,0.93,0.03,0.03,neptune
124,tcp,domain,REJ,1529,4200,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,30,47,0.07,0.07,0.03,0.03,0.78,0.09,0.1,85,115,0.78,0.48,0.23,0.36,0.06,0.09,0.04,0.04,normal
158,udp,ssh,S0,1614,3388,0,0,0,11,0,1,0,0,0,0,2,0,4,0,0,0,6,14,0.09,0.08,0.01,0.01,0.9,0.0,0.42,162,40,0.35,0.95,0.94,0.78,0.08,0.07,0.01,0.01,normal
29,icmp,domain,S0,1294,2848,0,0,0,14,0,1,0,0,0,0,0,0,3,0,1,0,36,25,0.03,0.04,0.08,0.07,0.95,0.29,0.54,49,112,0.31,0.76,0.57,0.55,0.04,0.02,0.06,0.07,normal
132,udp,smtp,S0,2132,9990,0,0,0,26,0,1,0,0,0,0,3,0,5,0,0,0,12,20,0.09,0.11,0.01,0.01,0.88,0.11,0.84,52,88,0.06,0.31,0.47,0.19,0.07,0.07,0.01,0.01,normal
170,icmp,ftp,S0,3257,934,0,0,0,17,0,1,0,0,0,0,3,0,3,0,0,0,5,21,0.02,0.02,0.02,0.02,0.94,0.09,0.05,208,184,0.61,0.3,0.77,0.32,0.02,0.03,0.02,0.02,normal
155,tcp,domain,REJ,3060,9841,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,38,7,0.01,0.01,0.09,0.08,0.96,0.18,0.62,52,11,0.42,0.1,0.69,0.38,0.02,0.02,0.07,0.07,normal
5,icmp,private,REJ,85,32,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,509,478,0.82,0.87,0.11,0.11,0.88,0.05,0.93,205,87,0.65,0.38,0.62,0.78,1.05,0.59,0.09,0.09,land
44,icmp,http,SF,5706,9367,0,0,0,4,0,1,0,0,0,0,2,0,3,0,0,0,15,9,0.07,0.07,0.06,0.06,0.98,0.28,0.7,80,74,0.03,0.96,0.66,0.91,0.06,0.06,0.06,0.05,normal
7,tcp,private,REJ,5,18,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,135,3,0.95,1.11,0.41,0.48,0.1,1.0,0.4,194,22,0.29,0.03,0.79,0.83,0.81,0.9,0.37,0.36,saint
230,udp,private,REJ,5638,732,0,0,0,10,0,1,0,0,0,0,4,0,4,0,1,0,46,38,0.0,0.0,0.09,0.09,0.89,0.29,0.2,48,199,0.33,0.84,0.43,0.13,0.0,0.0,0.09,0.09,normal
2,udp,private,S0,26,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,313,431,0.83,0.84,0.19,0.15,0.97,0.0,0.28,141,228,0.9,0.08,0.58,0.02,0.83,0.68,0.14,0.21,teardrop
266,icmp,ftp,REJ,4078,9226,0,0,0,25,0,1,0,0,0,0,2,0,3,0,0,0,11,46,0.06,0.07,0.03,0.03,0.88,0.23,0.44,122,183,0.88,0.96,0.41,0.22,0.04,0.06,0.04,0.02,normal
0,icmp,eco_i,RSTOS0,80,67,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,509,269,0.88,0.88,0.13,0.11,0.92,0.02,0.54,0,56,0.53,0.15,0.37,0.04,1.09,0.88,0.13,0.15,teardrop
3,udp,other,S0,78,51,0,2,0,10,0,0,0,0,0,0,0,0,0,0,1,1,265,510,0.91,0.78,0.1,0.09,0.85,0.03,0.64,41,244,0.32,0.34,0.79,0.33,0.98,1.14,0.11,0.1,teardrop
234,udp,http,REJ,1104,4819,0,0,0,20,0,1,0,0,0,0,0,0,5,0,0,0,34,25,0.07,0.08,0.1,0.1,0.75,0.13,0.42,171,114,0.27,0.41,0.79,0.07,0.06,0.07,0.09,0.08,normal
271,icmp,ssh,SF,180,866,0,0,0,26,0,1,0,0,0,0,3,0,1,0,0,0,37,14,0.04,0.03,0.05,0.06,0.76,0.25,0.58,79,88,0.92,0.14,0.52,0.76,0.04,0.03,0.06,0.05,normal
210,icmp,http,REJ,8568,4212,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,28,42,0.07,0.06,0.1,0.09,0.94,0.26,0.01,170,112,0.44,0.24,0.79,0.53,0.07,0.08,0.07,0.09,normal
213,tcp,ftp,SF,9647,2577,0,0,0,22,0,1,0,0,0,0,3,0,5,0,0,0,26,3,0.06,0.06,0.04,0.04,0.96,0.28,0.33,105,202,0.93,0.85,0.3,0.57,0.05,0.07,0.05,0.05,normal
227,icmp,private,REJ,2565,8263,0,0,0,28,0,1,0,0,0,0,2,0,5,0,0,0,24,48,0.0,0.0,0.1,0.11,0.96,0.28,0.67,232,174,0.87,0.55,0.09,0.16,0.0,0.0,0.12,0.09,normal
262,udp,ftp,REJ,6528,91,0,0,0,25,0,1,0,0,0,0,0,0,5,0,0,0,29,36,0.06,0.06,0.08,0.07,0.95,0.25,0.48,189,35,0.15,0.68,0.28,0.1,0.05,0.07,0.08,0.09,normal
141,icmp,domain,SF,8569,4056,0,0,0,12,0,1,0,0,0,0,3,0,2,0,1,0,34,50,0.06,0.07,0.07,0.05,0.84,0.13,0.02,166,155,0.73,0.26,0.79,0.21,0.08,0.05,0.08,0.07,normal
2,tcp,other,REJ,18,92,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,398,236,0.95,1.09,0.17,0.16,0.81,0.04,0.36,237,238,0.12,0.05,0.05,0.12,0.86,0.81,0.17,0.14,neptune
134,tcp,private,SF,4349,8840,0,0,0,3,0,1,0,0,0,0,3,0,2,0,0,0,31,9,0.02,0.02,0.09,0.1,0.84,0.15,0.73,249,158,0.1,0.53,0.88,0.37,0.01,0.02,0.07,0.11,normal
190,udp,domain,SF,9586,5686,0,0,0,12,0,1,0,0,0,0,5,0,3,0,0,0,32,48,0.06,0.05,0.08,0.1,0.81,0.15,0.53,134,60,0.78,0.41,0.24,0.74,0.07,0.08,0.07,0.06,normal
52,udp,ssh,REJ,7334,1623,0,0,0,9,0,1,0,0,0,0,5,0,1,0,0,0,17,47,0.1,0.1,0.07,0.07,0.85,0.24,0.57,21,110,0.5,0.28,0.71,0.4,0.08,0.07,0.07,0.06,normal
235,udp,domain,REJ,561,694,0,0,0,18,0,1,0,0,0,0,5,0,2,0,0,0,49,7,0.04,0.04,0.0,0.0,0.81,0.17,0.6,160,160,0.68,0.4,0.7,0.11,0.05,0.05,0.0,0.0,normal
3,udp,other,REJ,45,25,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,1,349,222,0.87,0.72,0.13,0.11,0.87,0.05,0.53,109,138,0.78,0.97,0.23,0.35,0.67,0.71,0.09,0.12,pod
239,udp,smtp,S0,5125,3764,0,0,0,13,0,1,0,0,0,0,5,0,4,0,1,0,28,26,0.09,0.09,0.09,0.11,0.79,0.21,0.95,137,11,0.2,0.77,0.97,0.67,0.09,0.11,0.1,0.08,normal
223,udp,domain,SF,6437,462,0,0,0,15,0,1,0,0,0,0,1,0,5,0,1,0,33,12,0.1,0.11,0.03,0.04,0.98,0.2,0.14,199,219,0.94,0.1,0.81,0.67,0.12,0.11,0.03,0.03,normal
1,tcp,other,S0,13,74,0,3,0,19,0,0,0,0,0,0,0,0,0,0,1,1,504,428,0.91,1.08,0.16,0.18,0.83,0.03,0.45,135,139,0.38,0.37,0.21,0.37,1.08,0.79,0.2,0.12,back
272,icmp,private,S0,1448,3553,0,0,0,26,0,1,0,0,0,0,1,0,4,0,0,0,25,29,0.02,0.02,0.1,0.09,0.91,0.04,0.84,219,154,0.78,0.54,0.9,0.86,0.02,0.02,0.11,0.08,normal
84,tcp,smtp,SF,3349,248,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,11,5,0.29,0.34,0.27,0.27,0.34,0.33,0.48,5,215,0.66,0.48,0.11,0.54,0.34,0.27,0.31,0.25,imap
247,icmp,http,REJ,6866,3089,0,0,0,21,0,1,0,0,0,0,4,0,0,0,1,0,7,32,0.01,0.01,0.03,0.03,0.86,0.15,0.57,22,115,0.89,0.67,0.39,0.3,0.01,0.01,0.03,0.03,normal
42,udp,http,S0,3829,384,0,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,25,17,0.08,0.07,0.06,0.05,0.99,0.22,0.66,58,230,0.68,0.12,0.07,0.86,0.08,0.06,0.05,0.06,normal
237,tcp,ssh,S0,2919,1981,0,0,0,12,0,1,0,0,0,0,2,0,1,0,0,0,22,16,0.01,0.01,0.02,0.02,0.97,0.22,0.57,12,233,0.37,0.28,0.01,0.86,0.01,0.01,0.03,0.02,normal
257,udp,smtp,REJ,1404,119,0,0,0,29,0,1,0,0,0,0,2,0,2,0,1,0,27,24,0.04,0.04,0.09,0.08,0.8,0.03,0.69,176,62,0.03,0.16,0.08,0.05,0.05,0.03,0.11,0.07,normal
169,udp,domain,REJ,9600,7950,0,0,0,15,0,1,0,0,0,0,3,0,0,0,1,0,37,38,0.0,0.0,0.02,0.02,0.94,0.26,0.03,16,176,0.41,0.45,0.06,0.57,0.0,0.0,0.03,0.02,normal
200,udp,domain,SF,9147,9726,0,0,0,14,0,1,0,0,0,0,3,0,3,0,1,0,21,14,0.02,0.03,0.04,0.04,0.78,0.23,0.06,198,143,0.22,0.32,0.95,0.84,0.03,0.03,0.04,0.04,normal
10,udp,private,SF,14,14,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,95,5,0.79,0.95,0.21,0.2,0.25,0.86,0.78,154,143,0.9,0.86,0.59,0.7,1.02,0.9,0.17,0.16,portsweep
176,udp,http,S0,4793,2707,0,0,0,28,0,1,0,0,0,0,4,0,5,0,1,0,31,4,0.05,0.05,0.08,0.08,0.88,0.28,0.12,55,26,0.48,0.99,0.47,0.31,0.04,0.04,0.09,0.07,normal
262,icmp,ssh,SF,2776,6397,0,0,0,18,0,1,0,0,0,0,0,0,1,0,0,0,44,37,0.02,0.02,0.05,0.05,0.78,0.3,0.69,178,213,0.01,0.43,0.72,0.73,0.02,0.03,0.06,0.06,normal
265,tcp,ssh,REJ,7854,603,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,40,50,0.09,0.09,0.09,0.1,0.97,0.13,0.41,192,114,0.5,0.59,0.88,0.81,0.11,0.06,0.1,0.06,normal
122,udp,http,SF,9125,9832,0,0,0,9,0,1,0,0,0,0,5,0,1,0,0,0,27,12,0.02,0.02,0.08,0.07,0.82,0.29,0.94,123,26,0.79,0.22,0.59,0.23,0.02,0.01,0.07,0.09,normal
193,icmp,ftp,REJ,3762,87,0,0,0,24,0,1,0,0,0,0,3,0,2,0,0,0,26,40,0.03,0.04,0.01,0.01,0.8,0.16,0.51,124,246,0.72,0.05,0.79,0.86,0.03,0.04,0.02,0.01,normal
174,tcp,http,SF,9530,8574,0,0,0,7,0,1,0,0,0,0,0,0,2,0,1,0,1,17,0.02,0.02,0.04,0.04,0.79,0.04,0.97,186,170,0.8,0.48,0.86,0.95,0.02,0.02,0.03,0.03,normal
1,tcp,private,REJ,15,31,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,1,346,117,0.98,1.15,0.02,0.02,0.99,0.09,0.78,67,241,0.57,0.78,0.16,0.89,0.98,1.17,0.02,0.02,neptune
158,icmp,ftp,S0,2895,9491,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,8,31,0.09,0.09,0.06,0.06,0.79,0.03,0.47,9,165,0.08,0.04,0.53,0.31,0.1,0.07,0.04,0.06,normal
0,tcp,other,RSTO,38,46,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,134,303,0.86,0.82,0.1,0.08,0.83,0.09,0.47,9,50,0.36,0.41,0.68,0.45,0.74,1.02,0.08,0.11,land
273,udp,ftp,REJ,8944,3140,0,0,0,17,0,1,0,0,0,0,1,0,5,0,0,0,13,1,0.06,0.05,0.04,0.04,0.99,0.04,0.01,25,45,0.86,0.34,0.98,0.15,0.04,0.06,0.03,0.04,normal
51,icmp,private,S0,164,1617,0,0,0,4,0,1,0,0,0,0,3,0,5,0,0,0,24,3,0.07,0.08,0.06,0.05,0.85,0.29,0.57,23,61,0.85,0.15,0.72,0.35,0.06,0.08,0.07,0.05,normal
137,icmp,private,SF,7858,9642,0,0,0,29,0,1,0,0,0,0,5,0,2,0,1,0,22,33,0.02,0.02,0.09,0.08,0.8,0.29,0.84,227,42,0.28,0.16,0.02,0.79,0.01,0.02,0.08,0.11,normal
46,tcp,ssh,SF,4698,3931,0,0,0,7,1,1,2,0,1,84,19,3,15,0,1,0,4,10,0.08,0.09,0.08,0.08,0.67,0.02,0.17,132,152,0.19,0.31,0.63,0.34,0.07,0.1,0.08,0.06,loadmodule
92,tcp,http,SF,1003,2865,0,0,0,20,1,1,10,0,0,35,18,5,1,0,1,0,7,5,0.04,0.04,0.1,0.1,0.84,0.01,0.86,25,15,0.72,0.57,0.01,0.07,0.05,0.04,0.1,0.08,perl
6,icmp,other,S0,8,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,116,10,0.58,0.67,0.02,0.02,0.12,0.8,0.06,51,170,0.15,0.24,0.94,0.11,0.56,0.69,0.02,0.02,satan
168,udp,domain,SF,238,1127,0,0,0,23,0,1,0,0,0,0,4,0,4,0,1,0,34,18,0.01,0.01,0.06,0.06,0.77,0.29,0.16,124,165,0.62,0.68,0.91,0.48,0.01,0.02,0.08,0.05,normal
86,tcp,ssh,SF,4984,7668,0,0,0,0,0,1,0,0,0,0,4,0,4,0,0,0,47,50,0.02,0.03,0.03,0.03,0.71,0.06,0.43,232,208,0.07,0.84,0.31,0.15,0.02,0.02,0.04,0.03,normal
26,icmp,ftp,SF,4122,2097,0,0,0,30,0,1,0,0,0,0,3,0,3,0,1,0,26,40,0.05,0.06,0.01,0.01,0.91,0.02,0.57,100,156,0.96,0.68,0.4,0.02,0.04,0.04,0.02,0.02,normal
177,tcp,domain,S0,9191,3694,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,22,30,0.02,0.02,0.08,0.08,0.95,0.03,0.63,106,25,0.18,0.23,0.31,0.85,0.02,0.02,0.1,0.06,normal
191,tcp,private,S0,2626,950,0,0,0,10,0,1,0,0,0,0,1,0,1,0,0,0,16,15,0.03,0.04,0.03,0.03,0.72,0.01,0.09,182,166,0.53,0.5,0.8,0.96,0.03,0.05,0.02,0.03,normal
10,udp,eco_i,RSTO,19,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,70,10,0.81,0.95,0.19,0.21,0.11,0.54,0.08,46,127,0.82,0.73,0.89,0.9,0.74,0.93,0.21,0.16,mscan
78,tcp,http,SF,5558,708,0,0,0,4,1,0,4,0,0,0,10,0,10,0,1,1,16,6,0.11,0.1,0.28,0.32,0.66,0.32,0.43,210,68,0.85,0.07,0.67,0.54,0.1,0.14,0.27,0.25,guess_passwd
0,udp,ssh,SF,5172,730,0,0,0,20,0,1,0,0,0,0,2,0,5,0,1,0,19,10,0.01,0.01,0.06,0.06,0.9,0.15,0.08,97,110,0.69,0.42,0.91,0.51,0.01,0.01,0.05,0.05,normal
213,icmp,http,SF,3597,9878,0,0,0,8,0,1,0,0,0,0,1,0,0,0,1,0,10,32,0.08,0.09,0.05,0.05,0.87,0.16,0.24,58,208,0.97,0.47,0.54,0.35,0.08,0.09,0.07,0.07,normal
179,icmp,http,REJ,9736,6305,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,22,26,0.08,0.09,0.05,0.06,0.75,0.14,0.16,0,57,0.67,0.94,0.29,0.15,0.06,0.06,0.05,0.04,normal
14,icmp,smtp,SF,6609,9940,0,0,0,11,0,1,0,0,0,0,5,0,2,0,1,0,29,34,0.08,0.08,0.06,0.05,1.0,0.11,0.46,40,133,0.39,0.26,0.04,0.43,0.08,0.09,0.06,0.04,normal
251,tcp,http,S0,5036,5855,0,0,0,29,0,1,0,0,0,0,2,0,1,0,0,0,28,3,0.04,0.04,0.06,0.07,0.81,0.12,0.66,107,75,0.02,0.03,0.35,0.83,0.03,0.03,0.07,0.05,normal
244,udp,smtp,SF,3327,1678,0,0,0,11,0,1,0,0,0,0,3,0,0,0,1,0,25,32,0.07,0.07,0.05,0.05,0.88,0.05,0.01,52,73,0.26,0.06,0.95,0.96,0.06,0.06,0.05,0.06,normal
16,icmp,private,REJ,647,9283,0,0,0,16,0,1,0,0,0,0,1,0,4,0,1,0,38,36,0.08,0.07,0.06,0.05,0.85,0.19,0.39,6,103,0.8,0.77,0.25,0.22,0.09,0.06,0.06,0.05,normal
157,icmp,smtp,SF,8106,4604,0,0,0,24,0,1,0,0,0,0,2,0,3,0,1,0,7,29,0.1,0.09,0.06,0.06,0.89,0.09,0.69,183,51,0.52,0.8,0.16,0.34,0.1,0.09,0.05,0.04,normal
19,tcp,smtp,S0,688,6149,0,0,0,21,0,1,0,0,0,0,2,0,0,0,1,0,25,48,0.05,0.05,0.09,0.09,0.99,0.03,0.83,52,84,0.77,0.51,0.91,0.34,0.04,0.04,0.1,0.1,normal
9,tcp,eco_i,REJ,49,17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,174,10,0.52,0.49,0.28,0.26,0.24,0.71,0.55,144,155,0.3,0.01,0.16,0.98,0.58,0.41,0.28,0.33,ipsweep
36,tcp,ssh,SF,7619,1308,0,0,0,22,0,1,0,0,0,0,4,0,0,0,0,0,20,24,0.0,0.0,0.09,0.09,0.95,0.26,0.59,62,134,0.79,0.6,0.25,0.57,0.0,0.0,0.08,0.12,normal
4,icmp,http,S0,74,78,0,1,0,28,0,0,0,0,0,0,0,0,0,0,1,1,475,261,0.97,0.93,0.08,0.08,0.93,0.06,0.78,148,32,0.97,0.22,0.08,0.09,1.12,0.98,0.06,0.09,pod
1,udp,private,REJ,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,230,4,0.58,0.57,0.32,0.32,0.13,0.79,0.41,140,24,0.81,0.9,0.45,0.3,0.69,0.56,0.26,0.23,mscan
181,udp,ftp,S0,7812,2100,0,0,0,23,0,1,0,0,0,0,0,0,3,0,1,0,49,10,0.05,0.04,0.07,0.06,0.84,0.08,0.99,230,135,0.26,0.63,0.61,0.97,0.04,0.05,0.06,0.07,normal
5,icmp,eco_i,S0,23,80,0,3,0,25,0,0,0,0,0,0,0,0,0,0,1,1,253,136,0.8,0.72,0.08,0.06,0.84,0.04,0.65,23,178,0.49,0.95,0.24,0.69,0.58,0.57,0.08,0.07,teardrop
208,tcp,smtp,S0,3750,6540,0,0,0,14,0,1,0,0,0,0,4,0,3,0,1,0,3,25,0.09,0.11,0.0,0.0,0.78,0.09,0.64,139,129,0.52,0.47,0.9,0.25,0.11,0.07,0.0,0.0,normal
